shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
108_3_ASC_shp,38.74945390,-9.21556370,294,5326
108_3_DESC_shp,38.73926170,-9.16714070,294,5251
121_1_ASC_shp,38.72587650,-9.19430560,136,3843
121_1_DESC_shp,38.71977780,-9.18513520,136,2852
62_0_ASC_shp,38.73517300,-9.14242240,484,9634
165_0_ASC_shp,38.77144460,-9.16561430,258,5008
165_0_DESC_shp,38.76896840,-9.17452410,258,6414
238_0_CIRC_shp,38.72276810,-9.16677290,63,1554
75_0_DESC_shp,38.70798770,-9.14265430,24,428
199_0_DESC_shp,38.75215860,-9.15116610,355,6166
199_0_ASC_shp,38.77186210,-9.16058910,355,7329
66_0_ASC_shp,38.78019890,-9.10165080,689,13608
103_0_DESC_shp,38.70439550,-9.20238620,110,1961
75_0_ASC_shp,38.71447400,-9.12851890,118,2332
103_0_ASC_shp,38.74171170,-9.14686300,110,2453
66_0_ASC_shp,38.74463680,-9.10107540,356,6544
103_3_ASC_shp,38.70960100,-9.20337520,106,2127
103_3_DESC_shp,38.70547680,-9.20235200,106,1841
146_1_ASC_shp,38.73239020,-9.16924780,176,3262
146_1_DESC_shp,38.72781290,-9.16052180,176,3095
108_3_ASC_shp,38.75008660,-9.19554880,180,3203
66_0_DESC_shp,38.76846580,-9.09795750,349,6655
108_3_DESC_shp,38.74561090,-9.18170660,180,3677
171_0_ASC_shp,38.70511690,-9.18574380,384,7442
208_0_ASC_shp,38.76290730,-9.10394240,285,5720
171_0_DESC_shp,38.70350160,-9.16450730,384,7745
208_0_DESC_shp,38.77485140,-9.10118820,285,5223
61_0_DESC_shp,38.76978080,-9.18934040,3,42
103_4_ASC_shp,38.69746570,-9.19597700,541,11180
146_1_ASC_shp,38.72496820,-9.15641670,18,430
146_1_DESC_shp,38.73485460,-9.17117240,18,302
247_0_CIRC_shp,38.72736740,-9.14199300,102,2253
193_0_DESC_shp,38.70386590,-9.25240040,36,471
193_0_ASC_shp,38.69821230,-9.22689060,36,329
152_0_ASC_shp,38.75114180,-9.10424120,250,7351
152_0_DESC_shp,38.73579180,-9.10373960,250,6331
190_0_DESC_shp,38.74129220,-9.15914770,559,12589
190_0_ASC_shp,38.78048780,-9.10180050,559,12378
60_0_ASC_shp,38.70129870,-9.22697450,454,8771
112_1_ASC_shp,38.75710240,-9.18554900,172,3846
112_1_DESC_shp,38.75586350,-9.20471720,172,2651
203_0_ASC_shp,38.78267380,-9.12194780,505,10462
199_1_ASC_shp,38.78863520,-9.16893930,675,12521
64_0_ASC_shp,38.73390590,-9.14468290,259,4465
203_0_DESC_shp,38.72789610,-9.14853050,505,10388
199_1_DESC_shp,38.70707090,-9.14166260,675,12147
213_0_ASC_shp,38.72040760,-9.15546140,106,1801
213_0_DESC_shp,38.71567420,-9.14599450,106,1997
282_0_ASC_shp,38.76540520,-9.19843310,266,6144
282_0_DESC_shp,38.77876520,-9.16790990,266,6558
136_0_DESC_shp,38.77459600,-9.16234560,206,3399
136_0_ASC_shp,38.71978090,-9.12320470,206,3312
112_0_DESC_shp,38.75868550,-9.15591520,544,9662
112_0_ASC_shp,38.75427490,-9.19572300,544,11627
102_0_DESC_shp,38.70682140,-9.17563660,673,12108
102_0_ASC_shp,38.72475600,-9.21388970,673,12737
136_0_DESC_shp,38.71786970,-9.12095950,732,14535
136_0_ASC_shp,38.78024730,-9.16296390,732,14457
204_3_ASC_shp,38.69715510,-9.20149440,12,189
112_0_DESC_shp,38.74838240,-9.19264690,278,4586
112_0_ASC_shp,38.76023200,-9.15542010,278,5660
143_0_DESC_shp,38.74102980,-9.13340480,429,8273
105_0_DESC_shp,38.72936660,-9.12302320,124,2834
143_0_ASC_shp,38.70380190,-9.16817370,429,7969
203_2_ASC_shp,38.77091220,-9.12165190,371,7572
105_0_ASC_shp,38.75195620,-9.10490820,124,2276
203_2_DESC_shp,38.74842170,-9.14866620,371,7994
109_4_DESC_shp,38.70119580,-9.18163830,87,2018
109_4_ASC_shp,38.72497030,-9.17276900,87,1235
220_0_CIRC_shp,38.70388500,-9.19130800,68,2309
136_0_DESC_shp,38.75518980,-9.15046580,426,8226
136_0_ASC_shp,38.74754500,-9.14090880,426,7820
76_0_ASC_shp,38.70961280,-9.13550000,20,543
226_0_CIRC_shp,38.74540990,-9.11932700,52,1124
221_0_CIRC_shp,38.69753600,-9.20462000,556,12014
60_0_ASC_shp,38.71101810,-9.22603600,563,10053
114_0_DESC_shp,38.70492510,-9.18741290,195,4063
248_0_ASC_shp,38.74199690,-9.16845820,1,0
171_3_DESC_shp,38.70306520,-9.19392240,245,4880
65_0_DESC_shp,38.70532710,-9.14357160,1000,18841
114_0_ASC_shp,38.73305220,-9.13191740,195,3848
248_0_DESC_shp,38.70295680,-9.19477020,1,0
171_3_ASC_shp,38.70628560,-9.14518040,245,3606
66_0_ASC_shp,38.70801970,-9.13807110,90,739
164_0_ASC_shp,38.75059680,-9.20047790,342,7286
164_0_DESC_shp,38.73507370,-9.14628860,342,6348
108_0_DESC_shp,38.73760710,-9.15666730,349,6263
108_0_ASC_shp,38.75117160,-9.21097920,349,7232
146_3_ASC_shp,38.73313130,-9.16900820,47,434
204_0_ASC_shp,38.70952240,-9.21044100,41,527
146_3_DESC_shp,38.73416350,-9.16937710,47,861
204_0_DESC_shp,38.78125860,-9.10662610,41,727
176_0_ASC_shp,38.75807570,-9.13013170,412,7938
176_0_DESC_shp,38.77470660,-9.10476420,412,8588
66_0_ASC_shp,38.78032980,-9.10151830,693,13627
122_0_DESC_shp,38.72880700,-9.17139550,48,662
122_0_ASC_shp,38.73728660,-9.14531780,48,878
136_0_DESC_shp,38.70671070,-9.14353120,958,18569
136_0_ASC_shp,38.78990900,-9.17545760,958,18363
179_0_DESC_shp,38.76383680,-9.15910210,309,7419
171_3_DESC_shp,38.71130670,-9.20747750,21,457
171_3_ASC_shp,38.72560400,-9.14065270,21,570
221_0_CIRC_shp,38.71750360,-9.20962520,369,7667
75_0_DESC_shp,38.71518760,-9.13708520,365,4726
147_0_DESC_shp,38.73136480,-9.13656220,195,4085
147_0_ASC_shp,38.72247200,-9.14991850,195,4045
172_1_DESC_shp,38.71679230,-9.11914090,250,5397
204_4_ASC_shp,38.70707090,-9.14166260,217,5824
172_1_ASC_shp,38.72503470,-9.12852660,250,4310
204_4_DESC_shp,38.70371840,-9.16245490,217,4411
196_0_DESC_shp,38.72528890,-9.15109300,504,10679
227_0_CIRC_shp,38.75534430,-9.18219320,189,3315
178_0_ASC_shp,38.71898690,-9.18486900,72,1598
178_0_DESC_shp,38.76032460,-9.20018700,72,1043
144_0_DESC_shp,38.73104070,-9.10960890,522,10529
64_0_ASC_shp,38.72746850,-9.14863960,223,3666
144_0_ASC_shp,38.76899500,-9.11691770,522,10791
64_0_DESC_shp,38.72607270,-9.14991050,254,5025
178_1_DESC_shp,38.73875180,-9.20437990,296,5559
178_1_ASC_shp,38.73924560,-9.20297230,296,6379
103_0_DESC_shp,38.73368170,-9.14465220,598,11828
103_0_ASC_shp,38.69816590,-9.20404690,598,12043
192_1_ASC_shp,38.70785200,-9.15582170,142,2592
175_0_ASC_shp,38.70092990,-9.18198830,364,8935
192_1_DESC_shp,38.72114260,-9.16216930,142,2774
114_0_DESC_shp,38.71446380,-9.17415920,334,6874
114_0_ASC_shp,38.73446880,-9.15360060,334,6295
121_1_ASC_shp,38.71368360,-9.20049220,251,5592
241_0_ASC_shp,38.72868300,-9.16324150,95,2069
121_1_DESC_shp,38.72499510,-9.15345600,251,6094
241_0_DESC_shp,38.73985640,-9.16863690,95,1799
239_2_CIRC_shp,38.74883530,-9.13139000,84,2053
144_0_DESC_shp,38.76926890,-9.09759050,27,342
107_0_DESC_shp,38.70449070,-9.17821980,283,6136
144_0_ASC_shp,38.71306820,-9.13943710,27,354
107_0_ASC_shp,38.71471660,-9.14082990,283,6128
78_0_ASC_shp,38.70486390,-9.18841200,165,4075
147_0_DESC_shp,38.71374390,-9.12243530,2,30
64_0_ASC_shp,38.79602960,-9.14941250,788,16002
147_0_ASC_shp,38.70580200,-9.14388950,2,13
100_1_ASC_shp,38.76707870,-9.10438140,290,7712
245_0_CIRC_shp,38.71522330,-9.14161210,236,5012
100_1_DESC_shp,38.76832290,-9.10966910,290,6178
76_0_ASC_shp,38.70637170,-9.14992330,159,2027
106_0_DESC_shp,38.71340420,-9.22211740,245,2737
147_3_ASC_shp,38.70763160,-9.15125720,238,2956
106_0_ASC_shp,38.75935710,-9.15481080,245,7066
105_0_DESC_shp,38.74419160,-9.13216090,15,479
105_0_ASC_shp,38.75390680,-9.11420580,15,309
175_3_ASC_shp,38.74141920,-9.14632660,40,1054
103_1_ASC_shp,38.71412070,-9.21458320,555,11116
103_1_DESC_shp,38.72034030,-9.15392910,555,11054
178_1_DESC_shp,38.75738320,-9.20560930,107,1754
178_1_ASC_shp,38.72474720,-9.19151110,107,2553
118_0_ASC_shp,38.74507070,-9.16853060,668,13615
147_3_ASC_shp,38.71992010,-9.15499630,324,4791
112_0_DESC_shp,38.73413590,-9.14137010,729,13815
112_0_ASC_shp,38.74779060,-9.21680390,729,14591
174_0_ASC_shp,38.77433420,-9.16238850,87,1601
174_0_DESC_shp,38.78409250,-9.16147400,87,2067
64_0_DESC_shp,38.70944880,-9.13808230,361,7368
106_0_DESC_shp,38.74963350,-9.19333450,461,9022
106_0_ASC_shp,38.73647710,-9.20581820,461,13870
103_0_DESC_shp,38.70917870,-9.15312310,430,8598
240_0_CIRC_shp,38.76503280,-9.17727600,192,4686
103_0_ASC_shp,38.70699050,-9.17365050,430,8661
61_1_DESC_shp,38.73416240,-9.16453020,513,8967
123_3_ASC_shp,38.74712920,-9.17061860,259,5931
117_0_DESC_shp,38.70432340,-9.16801840,108,2207
123_3_DESC_shp,38.74937490,-9.14820090,259,5901
117_0_ASC_shp,38.75006430,-9.15899390,108,2547
122_0_DESC_shp,38.72392880,-9.16067140,375,8423
122_0_ASC_shp,38.70458100,-9.16713920,375,7402
